"decimalLongitude","decimalLatitude"
-115.39861,47.38333
-115.39861,47.38333
-113.99306,46.87222
-113.05,37.3
-112.582,38.602
-112.582,38.602
-111.66,40.23
-111.40028,42.22722
-111.11056,43.60278
-111.11056,43.60278
-111.079,41.603
-111.079,41.603
-111.03778,45.67972
-111.03778,45.67972
-111.03778,45.67972
-111.03778,45.67972
-111.03778,45.67972
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-110.7336,44.9195
-107.7525,38.01361
-107.7525,38.01361
-107.5075,40.10056
-107.5075,40.10056
-107.5075,40.10056
-107.5075,40.10056
-107.5075,40.10056
-107.5075,40.10056
-107.5075,40.10056
-107.5075,40.10056
-107.32417,39.55056
-107.32417,39.55056
-106.69167,35.76861
-106.69167,35.76861
-106.61111,40.38472
-106.61111,40.38472
-106.3,39.36667
-106.3,39.36667
-106.15639,39.50167
-105.5971,40.5614
-105.5971,40.5614
-105.5971,40.5614
-105.5971,40.5614
-105.58861,39.905
-105.58861,39.905
-105.551,38.9979
-105.508,40.072
-105.50778,40.07222
-105.50778,40.07222
-105.43333,37.42889
-105.43333,37.42889
-105.4119,40.0107
-105.35,40.08333
-105.35,40.08333
-105.25,40
-105.20278,37.59306
-105.02,41.27565
-105.01667,37.15222
-104.98417,39.73917
-103.85889,44.49083
-103.72917,44.37667
-103.63806,44.46111
-103.59833,43.76667
-103.59833,43.76667
-103.59833,43.76667
-103.479,43.894
-103.479,43.894
