"decimalLongitude","decimalLatitude"
-109.496355,49.646069
-109.500443,49.64618
-109.500443,49.66926
-109.496355,49.646069
-109.497,49.6477
-109.496355,49.646069
-109.497,49.6477
-109.496355,49.646069
-109.496355,49.646069
-109.01019,49.43766
-109.01019,49.43766
-109.53634,49.64436
-109.91915,49.60378
-109.29655,50.68974
-109.8966,49.5708
-109.90788,49.57154
-109.8966,49.5708
-109.92075,49.60183
-109.92075,49.60183
-109.92075,49.60183
-109.89401,49.57106
-109.89401,49.57106
-109.89401,49.57106
-109.92075,49.60183
-109.92075,49.60183
-118.447448,50.934219
-105.066507,39.886611
-105.066507,39.886757
-123.428739,48.099886
-112.850472,51.31976
-128.605208,54.099097
-110.804565,43.32282
-112.850487,51.31969
-110.729493,43.496598
-105.29277,40.048598
-122.272819,46.28686
-112.580266,38.600931
-106.11345,39.763
-118.986343,50.150162
-107.534845,44.783102
-123.433832,48.111391
-117.490845,49.043713
-121.522233,46.257262
-103.231015,44.08045
-125.253386,50.047233
-125.253358,50.0472
-125.253692,50.047744
-120.806647,47.535692
-110.383864,44.607259
-112.029092,46.591645
-112.8611,49.6816
-120.401794,47.294511
-107.021828,39.002725
-116.743581,46.740761
-121.034488,39.949682
-121.521131,39.999083
-106.094269,39.654072
-115.005556,50.583333
-106.09433,39.653978
-121.83268,44.15435
-107.261919,40.78992
-122.83017,44.18281
-122.07904,43.61682
-122.08302,43.61797
-116.19734,46.76606
-105.086806,39.775657
-104.006386,44.241269
-123.194326,47.964413
-115.416548,47.869219
-109.34015,46.71359
-122.307649,42.243064
-122.307649,42.243064
-122.307649,42.243064
-122.734229,42.081529
-121.532142,45.352238
-114.17777,48.42346
-122.307649,42.243064
-122.307649,42.243064
-122.385538,42.243554
-114.2854,43.50435
-122.41337,42.41551
-122.385482,42.319925
-116.97217,51.293099
-116.972476,51.293136
-103.828129,44.190731
-103.859104,44.136318
-103.859104,44.136318
-120.758508,39.800909
-115.412516,43.659109
-115.402026,43.67332
-122.46318,42.90834
-122.46318,42.90834
-122.46318,42.90834
-105.951375,39.608228
-120.688,39.8
-120.546,39.315
-110.367,43.15908
-103.734024,44.023858
-120.254,48.295
-122.385538,42.243554
-120.2704,48.4228
-114.01779,48.60491
-113.43861,48.72252
-113.72813,48.69295
-122.46318,42.90834
-123.374941,48.490682
-115.73697,49.463699
-123.663204,48.785703
-112.248981,49.254404
-112.248008,49.254253
-117.896496,49.35322
-120.499726,39.860577
-120.499726,39.860577
-120.499726,39.860577
-105.480984,40.205303
-116.8888,47.07371
-116.8888,47.07371
-120.1025,48.2646
-114.42702,48.33233
-114.4319,48.3336
-120.488817,39.758472
-114.43839,48.02672
-120.10247,48.2646
-109.487353,40.878387
-116.8888,47.07371
-116.8888,47.07371
-122.47793,42.24432
-123.169364,48.124757
-113.67902,48.80428
-113.94523,48.50071
-113.94523,48.50071
-113.94523,48.50071
-113.94523,48.50071
-122.46318,42.90834
-120.6347,48.6952
-121.68143,45.27185
-123.076304,48.097373
-121.48524,40.11652
-121.87341,44.38278
-123.199728,48.136599
-103.41898,44.009513
-118.105607,45.425074
-116.33923,43.553777
-122.878074,47.821879
-118.126045,45.425879
-113.506828,44.306426
-121.516289,43.980108
-118.25496,48.94531
-114.262963,43.836319
-116.136764,44.858008
-122.3931,42.40572
-122.3752,42.34356
-112.065443,46.600455
-111.659,42.5
-113.9499,44.3617
-123.197,48.1339
-123.197,48.1339
-115.746067,43.739309
-118.40398,44.58344
-118.56025,44.7135
-114.750567,43.889233
-121.4726,46.9423
-121.4726,46.9423
-115.67455,45.26355
-116.048996,48.870421
-115.623815,47.231003
-123.055456,47.86042
-121.13981,47.02236
-122.83017,44.18281
-107.10899,40.0345
-122.08302,43.61797
-122.699084,41.134074
-116.19734,46.76606
-104.006386,44.241269
-106.668,40.37864
-114.645721,48.43718
-115.416548,47.869219
-122.307649,42.243064
-122.483343,42.250202
-114.298,47.289
-113.506828,44.306426
-115.419571,43.613436
-117.9377,45.8203
-118.2338,44.95841
-121.963681,44.49053
-103.753998,44.382331
-123.743485,47.480718
-119.895,48.4429
-120.663951,42.280371
-123.140243,48.087033
-120.869,42.674
-122.183014,46.146532
-113.725149,44.772617
-103.849426,44.657185
-121.21041,47.05962
-121.21041,47.05962
-121.21041,47.05962
-117.312411,48.987974
-117.312411,48.987974
-117.312411,48.987974
-116.45684,46.77142
-111.62678,44.20437
-116.418396,46.850403
-116.445224,47.935322
-116.445224,47.935322
-116.445224,47.935322
-116.432419,47.913803
-116.432419,47.913803
-116.445224,47.935322
-116.456288,47.950328
-116.898866,48.701922
-116.898866,48.701922
-116.961225,48.735293
-116.961225,48.735293
-116.471174,47.655609
-116.471174,47.655609
-116.590245,46.180724
-116.090044,44.695836
-121.66264,45.971507
-121.66264,45.971507
-103.850015,44.274274
-114.390042,48.21542
-123.085963,48.08082
-116.207202,48.850403
-116.207202,48.850403
-116.456288,47.950328
-116.456288,47.950328
-116.456288,47.950328
-116.467569,47.649499
-121.22914,46.62798
-121.22914,46.62798
-121.513,46.872
-117.384295,47.643379
-116.8888,47.07371
-121.514286,46.871386
-121.61274,46.91144
-116.018997,44.824393
-121.62485,46.91482
-113.975208,51.240253
-121.725882,45.322256
-121.614256,43.982301
-111.3694,44.4189
-111.3871,44.7489
-113.44305,48.74663
-121.66211,45.3299
-123.076304,48.097373
-121.36697,46.92402
-123.104,48.116473
-123.0686,48.0738
-116.986389,48.290278
-111.197383,48.85035
-122.896688,42.033939
-115.632439,46.698092
-113.437,48.747
-116.66817,45.191101
-123.140243,48.087033
-122.13,43.311
-116.57403,45.27384
-123.197,48.1339
-123.197,48.1339
-112.245181,48.56016
-121.38071,46.64318
-118.40398,44.58344
-118.56025,44.7135
-116.54742,48.9944
-120.22685,48.08675
-121.61351,46.91151
-121.61329,46.91575
-121.62485,46.91482
-121.718563,45.323158
-122.0116,44.41637
-111.3694,44.4189
-111.3871,44.7489
-121.4244,42.532
-114.418273,51.17515
-114.02232,44.87505
-114.57047,44.24496
-116.824479,49.676835
-114.49522,44.82838
-121.529,45.115
-112.805176,49.7334
-121.70692,42.78263
-121.70692,42.78263
-121.70692,42.78263
-121.5802,42.96798
-115.96754,44.91451
-115.96754,44.91451
-115.42135,44.89309
-122.08302,43.61797
-122.07904,43.61682
-122.093685,43.61511
-123.16013,47.89956
-115.632439,46.698092
-115.632439,46.698092
-103.989821,44.321895
-107.995,39.042
-107.995,39.042
-106.678377,39.103376
-109.34194,46.72004
-122.307649,42.243064
-122.364113,42.307313
-114.47717,43.6385
-106.818456,44.332779
-106.818456,44.332779
-110.803006,40.430685
-121.618105,39.908996
-122.3931,42.40572
-122.456729,42.928188
-122.456729,42.928188
-103.859104,44.136318
-103.859104,44.136318
-115.865646,48.846166
-122.46318,42.90834
-105.952303,39.608471
-105.952303,39.608471
-121.532142,45.352238
-106.814128,44.330445
-120.761,39.855
-120.688,39.8
-120.735,39.809
-106.071987,39.630536
-110.39127,44.55499
-113.62302,47.44173
-122.495805,42.886849
-114.54889,44.24936
-122.08302,43.61797
-122.08302,43.61797
-122.07904,43.61682
-122.07904,43.61682
-122.07904,43.61682
-122.3297,43.5556
-122.093685,43.61511
-122.21654,43.526053
-115.632439,46.698092
-103.989821,44.321895
-103.734024,44.023858
-103.734024,44.023858
-115.755278,47.330278
-115.755278,47.330278
-116.055,47.260278
-116.922327,46.547986
-120.422427,42.372093
-123.104,48.116473
-114.18334,43.60565
-116.173647,43.600794
-116.283689,46.53375
-115.93044,47.6492
-121.705084,45.321903
-122.62812,46.48708
-123.355446,48.115703
-122.49975,48.75504
-122.49975,48.75504
-122.49495,48.75596
-122.478131,48.757448
-122.50492,48.71844
-123.145815,41.560827
-121.532259,45.352432
-117.03371,45.15651
-123.139882,48.052055
-109.512928,46.80053
-117.410732,47.636218
-120.17933,48.31952
-120.17933,48.31952
-123.489595,48.450145
-123.157768,48.116572
-123.500196,48.854818
-122.739963,42.080918
-118.041,45.266
-116.989648,46.732967
-117.88876,50.15544
-117.367575,47.555921
-118.909019,50.259062
-107.125651,44.623499
-107.148423,44.627306
-116.493338,47.699956
-116.216962,48.843401
-116.546019,48.967422
-116.546019,48.967422
-123.169364,48.124757
-113.34529,48.33992
-123.43236,48.1133
-103.734024,44.023858
-116.526456,48.190852
-116.154983,43.567939
-117.152927,46.87123
-103.3699,44.0264
-121.895654,40.863396
-116.927547,48.244059
-113.44076,48.74285
-113.26903,48.38837
-123.076304,48.097373
-114.104143,51.076215
-123.22021,47.9843
-121.721246,45.335621
-123.0686,48.0738
-120.480183,48.640001
-123.169364,48.124757
